[2026-01-08 00:11:01] Action: CREATE | Payment ID: 1 | Transaction ID: 1 | Reference: N/A | Payment created for order 1
[2026-01-08 00:11:01] Action: CREATE | Payment ID: 2 | Transaction ID: 2 | Reference: N/A | Payment created for order 2
[2026-01-08 00:11:01] Action: CREATE | Payment ID: 3 | Transaction ID: 4 | Reference: N/A | Payment created for order 4
[2026-01-08 00:13:10] Action: DELETE | Payment ID: 2 | Transaction ID:  | Reference:  | Payment deleted
[2026-01-08 00:13:15] Action: DELETE | Payment ID: 2 | Transaction ID:  | Reference:  | Payment deleted
[2026-01-08 00:13:31] Action: DELETE | Payment ID: 1 | Transaction ID:  | Reference:  | Payment deleted
[2026-01-08 00:13:36] Action: DELETE | Payment ID: 3 | Transaction ID:  | Reference:  | Payment deleted
[2026-01-08 00:14:25] Action: CREATE | Payment ID: 4 | Transaction ID: 1 | Reference: N/A | Payment created for order 1
[2026-01-08 00:14:25] Action: CREATE | Payment ID: 5 | Transaction ID: 2 | Reference: N/A | Payment created for order 2
[2026-01-08 00:14:25] Action: CREATE | Payment ID: 6 | Transaction ID: 4 | Reference: N/A | Payment created for order 4
[2026-01-08 00:16:58] Action: DELETE | Payment ID: 6 | Transaction ID:  | Reference:  | Payment deleted
[2026-01-08 00:17:03] Action: DELETE | Payment ID: 5 | Transaction ID:  | Reference:  | Payment deleted
[2026-01-08 00:17:12] Action: DELETE | Payment ID: 4 | Transaction ID:  | Reference:  | Payment deleted
[2026-01-08 00:17:58] Action: CREATE | Payment ID: 7 | Transaction ID: 1 | Reference: N/A | Payment created for order 1
[2026-01-08 00:17:58] Action: CREATE | Payment ID: 8 | Transaction ID: 2 | Reference: N/A | Payment created for order 2
[2026-01-08 00:17:58] Action: CREATE | Payment ID: 9 | Transaction ID: 4 | Reference: N/A | Payment created for order 4
[2026-01-08 00:19:06] Action: DELETE | Payment ID: 7 | Transaction ID:  | Reference:  | Payment deleted
[2026-01-08 00:19:10] Action: DELETE | Payment ID: 8 | Transaction ID:  | Reference:  | Payment deleted
[2026-01-08 00:19:15] Action: DELETE | Payment ID: 9 | Transaction ID:  | Reference:  | Payment deleted
[2026-01-08 00:28:21] Action: CREATE | Payment ID: 10 | Transaction ID: 2 | Reference: N/A | Payment created for order 2
[2026-01-08 00:44:27] Action: CREATE | Payment ID: 11 | Transaction ID: 6 | Reference: N/A | Payment created for order 6
[2026-01-09 09:04:40] Action: CREATE | Payment ID: 12 | Transaction ID: 2 | Reference: N/A | Payment created for order 2
[2026-01-09 09:04:51] Action: DELETE | Payment ID: 12 | Transaction ID:  | Reference:  | Payment deleted
[2026-01-12 13:18:01] Action: CREATE | Payment ID: 13 | Transaction ID: 6 | Reference: N/A | Payment created for order 6
[2026-01-12 13:19:03] Action: DELETE | Payment ID: 11 | Transaction ID:  | Reference:  | Payment deleted
[2026-01-12 13:19:05] Action: DELETE | Payment ID: 11 | Transaction ID:  | Reference:  | Payment deleted
[2026-01-12 15:59:47] Action: DELETE | Payment ID: 16 | Transaction ID:  | Reference:  | Payment deleted
[2026-01-12 15:59:48] Action: DELETE | Payment ID: 16 | Transaction ID:  | Reference:  | Payment deleted
[2026-01-12 16:05:30] Action: DELETE | Payment ID: 13 | Transaction ID:  | Reference:  | Payment deleted
[2026-01-12 16:05:32] Action: DELETE | Payment ID: 13 | Transaction ID:  | Reference:  | Payment deleted
[2026-01-12 16:06:02] Action: CREATE | Payment ID: 17 | Transaction ID: 6 | Reference: N/A | Payment created for order 6
[2026-01-12 16:06:02] Action: CREATE | Payment ID: 18 | Transaction ID: 6 | Reference: N/A | Payment created for order 6
[2026-01-12 16:06:42] Action: DELETE | Payment ID: 18 | Transaction ID:  | Reference:  | Payment deleted
[2026-01-12 16:09:39] Action: DELETE | Payment ID: 17 | Transaction ID:  | Reference:  | Payment deleted
[2026-01-12 16:09:47] Action: DELETE | Payment ID: 10 | Transaction ID:  | Reference:  | Payment deleted
[2026-01-12 16:10:10] Action: CREATE | Payment ID: 19 | Transaction ID: 6 | Reference: N/A | Payment created for order 6
[2026-01-12 16:11:42] Action: DELETE | Payment ID: 19 | Transaction ID:  | Reference:  | Payment deleted
[2026-01-12 16:12:05] Action: CREATE | Payment ID: 20 | Transaction ID: 5 | Reference: N/A | Payment created for order 5
